date,predicted_trend,actual_trend,predicted_rate,actual_rate
2021-06-20 20:38:01,Up,Down,0.0006,0.000479
2021-06-20 20:39:01,Up,Up,0.018941,8.4e-05
2021-06-20 20:40:01,Up,Down,0.001869,0.00031
2021-06-20 20:42:01,Up,Down,0.015824,2e-06
2021-06-20 20:44:01,Up,Up,0.006014,0.00013
2021-06-20 20:45:49,Up,Up,0.035967,0.0
2021-06-20 20:46:32,Down,Up,0.018573,0.0
2021-06-20 20:48:01,Up,Up,0.001048,0.0
2021-06-20 20:49:01,Down,Up,0.011454,0.0
2021-06-20 20:51:01,Up,Down,0.002327,0.00125
2021-06-20 20:53:01,Up,Down,0.060251,0.000644
2021-06-20 20:54:01,Down,Up,0.065709,0.000238
2021-06-20 20:55:01,Down,Up,0.017291,0.000111
