date,predicted_trend,actual_trend,predicted_rate,actual_rate
2021-06-19 06:29:01,Up,Down,0.014217,0.003594

2021-06-19 06:30:01,Down,Up,0.00674,0.00057

2021-06-19 06:31:01,Down,Up,0.001648,0.000574

2021-06-19 06:31:52,Up,Up,0.007796,0.000189

2021-06-19 06:32:42,Down,Up,0.010328,8e-06

2021-06-19 06:35:01,Down,Up,0.000708,0.000417

2021-06-19 06:38:01,Up,Down,0.031485,0.001707

2021-06-19 06:41:01,Up,Up,0.015053,0.000209

2021-06-19 06:42:01,Down,Down,0.01278,0.000383

2021-06-19 06:43:01,Up,Down,0.022285,0.000291

2021-06-19 06:45:01,Up,Down,0.000604,0.000507

2021-06-19 06:47:01,Down,Down,0.000783,0.001834

2021-06-19 06:49:01,Down,Down,0.010709,0.002051

2021-06-19 06:51:01,Up,Down,0.002242,0.00261

2021-06-19 06:52:01,Down,Up,0.005157,0.000428

2021-06-19 06:52:52,Up,Down,0.008547,0.00029

2021-06-19 06:55:01,Up,Down,0.023098,0.000672

2021-06-19 06:57:01,Down,Up,0.002803,0.000816

2021-06-19 06:59:01,Up,Down,0.001306,0.00076

2021-06-19 07:01:01,Down,Up,0.002633,0.002343

2021-06-19 07:03:01,Up,Up,0.01204,6e-05

2021-06-19 07:05:01,Down,Down,0.006005,0.002714

2021-06-19 07:07:01,Down,Down,0.001526,0.000471

2021-06-19 07:08:01,Down,Down,0.015492,2.7e-05

2021-06-19 07:08:52,Down,Up,0.003864,1.4e-05

2021-06-19 07:11:01,Down,Down,0.008659,0.001553

2021-06-19 07:13:01,Down,Down,0.000547,0.001084

2021-06-19 07:15:01,Down,Down,0.004343,4.4e-05

2021-06-19 07:17:01,Up,Down,0.004465,0.001043

2021-06-19 07:19:01,Down,Down,0.012292,0.000431

2021-06-19 07:21:01,Up,Up,0.005385,0.00021

2021-06-19 07:22:01,Down,Up,0.002508,0.000278

2021-06-19 07:24:01,Down,Up,0.002573,0.000634

2021-06-19 07:26:01,Up,Up,0.017647,0.000479

2021-06-19 07:28:01,Down,Down,0.018082,0.000331

2021-06-19 07:30:01,Down,Up,0.029689,0.003123

2021-06-19 07:32:01,Up,Up,0.017364,0.012156

2021-06-19 07:34:01,Down,Down,0.004828,0.001596

2021-06-19 07:36:01,Up,Down,0.005801,0.002048

2021-06-19 07:37:01,Up,Down,0.001276,0.000343

2021-06-19 07:39:01,Down,Down,0.006992,0.000766

2021-06-19 07:41:01,Up,Up,0.002117,0.001824

2021-06-19 07:43:01,Up,Up,0.011843,0.000849

2021-06-19 07:46:01,Down,Down,0.003797,0.001804

2021-06-19 07:47:47,Up,Down,0.020768,4.5e-05

2021-06-19 07:50:01,Up,Down,0.00243,0.000228

2021-06-19 07:51:01,Down,Down,0.002072,0.001144

2021-06-19 07:52:01,Down,Down,0.007816,0.000261

2021-06-19 07:52:52,Down,Down,0.005874,1.5e-05

2021-06-19 07:55:01,Down,Up,0.004403,0.001344

2021-06-19 07:57:01,Down,Up,0.017612,0.000654

2021-06-19 07:59:01,Down,Down,0.006543,0.002063

2021-06-19 08:01:01,Up,Up,0.009607,0.00296

2021-06-19 08:03:01,Up,Up,0.000176,0.001096

2021-06-19 08:05:01,Down,Up,0.000947,0.001022

2021-06-19 08:07:01,Down,Down,0.006459,0.00097

2021-06-19 08:08:01,Up,Down,0.001147,8.3e-05

2021-06-19 08:09:01,Down,Up,0.004695,0.000349

2021-06-19 08:10:01,Down,Up,0.015694,0.000216

2021-06-19 08:12:01,Down,Down,0.009954,0.000897

2021-06-19 08:13:01,Down,Down,0.000187,5e-06

